,metal,Surface,rA,rB,pA,pB,Er,Ea
0,Pt,111,CH3CCH,*,CH3CCH*,,-2.09,0.34351
1,Os,111,CH3CCH,*,CH3CCH*,,-2.5,0.4935
2,Au,111,CH3CCH,*,CH3CCH*,,0.01,0.42727
3,Rh,111,CH3CCH,*,CH3CCH*,,-2.17,0.56581
4,Pd,111,CH3CCH,*,CH3CCH*,,-1.41,0.16416
5,Ag,111,CH3CCH,*,CH3CCH*,,-0.2,0.30277
6,Ru,111,CH3CCH,*,CH3CCH*,,-2.58,0.24445
7,Ni,111,CH3CCH,*,CH3CCH*,,-1.94,0.32187
8,Ir,111,CH3CCH,*,CH3CCH*,,-2.36,0.48967
9,Re,111,CH3CCH,*,CH3CCH*,,-3.22,0.51715
10,Co,111,CH3CCH,*,CH3CCH*,,-1.99,0.63688
11,Pt,111,CH3CHCH2*,*,CH3CHCH*,H*,0.29,0.56862
12,Pt,111,CH3CHCH2,*,CH3CHCH2*,,-0.94,0.27951
13,Os,111,CH3CHCH2*,*,CH3CHCH*,H*,-0.45,0.87053
14,Os,111,CH3CHCH2,*,CH3CHCH2*,,-0.57,0.3598
15,Au,111,CH3CHCH2*,*,CH3CHCH*,H*,1.82,0.55573
16,Au,111,CH3CHCH2*,*,CH3CCH2*,H*,1.6,0.42912
17,Au,111,CH3CHCH2,*,CH3CHCH2*,,-0.27,1.25542
18,Rh,111,CH3CHCH2*,*,CH3CHCH*,H*,0.12,0.69692
19,Rh,111,CH3CHCH2,*,CH3CHCH2*,,-0.62,0.70227
20,Pd,111,CH3CHCH2*,*,CH3CHCH*,H*,0.52,0.22901
21,Pd,111,CH3CHCH2,*,CH3CHCH2*,,-0.54,0.23254
22,Ag,111,CH3CHCH2*,*,CH3CHCH*,H*,1.81,0.27652
23,Ag,111,CH3CHCH2*,*,CH3CCH2*,H*,1.97,0.44986
24,Ag,111,CH3CHCH2,*,CH3CHCH2*,,-0.24,0.33586
25,Ru,111,CH3CHCH2*,*,CH3CHCH*,H*,-0.3,0.79748
26,Ru,111,CH3CHCH2,*,CH3CHCH2*,,-0.73,0.48714
27,Ni,111,CH3CHCH2*,*,CH3CHCH*,H*,0.1,0.59121
28,Ni,111,CH3CHCH2,*,CH3CHCH2*,,-0.39,0.15043
29,Ir,111,CH3CHCH2*,*,CH3CHCH*,H*,0.13,0.68832
30,Ir,111,CH3CHCH2,*,CH3CHCH2*,,-0.84,0.17579
31,Re,111,CH3CHCH2*,*,CH3CHCH*,H*,-0.47,0.38769
32,Re,111,CH3CHCH2,*,CH3CHCH2*,,-1.01,0.39074
33,Co,111,CH3CHCH2*,*,CH3CHCH*,H*,0.17,0.83883
34,Co,111,CH3CHCH2*,*,CH3CCH2*,H*,0.69,1.1635
35,Co,111,CH3CHCH2,*,CH3CHCH2*,,-0.43,0.50145
36,Au,111,CH3CH2CH3*,*,CH3CH2CH2*,H*,1.61,1.21694
37,Au,111,CH3CH2CH3*,*,CH3CHCH3,H*,1.58,1.20837
38,Ag,111,CH3CH2CH3*,*,CH3CH2CH2*,H*,1.96,0.56692
39,Ag,111,CH3CH2CH3*,*,CH3CHCH3,H*,1.99,0.35136
40,Co,111,CH3CH2CH3*,*,CH3CH2CH2*,H*,0.79,0.62546
41,Co,111,CH3CH2CH3*,*,CH3CHCH3,H*,0.87,1.08241
42,Pt,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.3,0.84677
43,Os,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.31,0.37185
44,Au,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.2,0.71998
45,Rh,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.3,0.62722
46,Pd,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.3,0.87309
47,Ag,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.23,0.79178
48,Ru,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.3,0.53332
49,Ni,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.31,0.79411
50,Ir,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.35,1.2069
51,Re,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.3,1.27358
52,Co,111,CH3CH2CH3,*,CH3CH2CH3*,,-0.29,0.49857
53,Au,111,CH3CCH2*,*,CH3CCH*,H*,1.39,1.20104
54,Ag,111,CH3CCH2*,*,CH3CCH*,H*,0.71,1.28365
55,Co,111,CH3CCH2*,*,CH3CCH*,H*,-1.05,0.62546
56,Au,111,CH3CHCH*,*,CH3CCH*,H*,1.17,1.17324
57,Ag,111,CH3CHCH*,*,CH3CCH*,H*,0.88,1.20516
58,Co,111,CH3CHCH*,*,CH3CCH*,H*,-0.53,1.29935
59,Au,111,CH3CH2C*,*,CH3CHC*,H*,0.79,1.16293
60,Ag,111,CH3CH2C*,*,CH3CHC*,H*,0.31,1.18679
61,Co,111,CH3CH2C*,*,CH3CHC*,H*,0.31,1.16671
62,Au,111,CH3CCH3*,*,CH3CCH2*,H*,0.41,1.20456
63,Ag,111,CH3CCH3*,*,CH3CCH2*,H*,0.26,1.19695
64,Co,111,CH3CCH3*,*,CH3CCH2*,H*,0.22,1.13382
65,Au,111,CH3CH2CH*,*,CH3CH2C*,H*,0.91,1.18898
66,Au,111,CH3CH2CH*,*,CH3CH2CH*,H*,0.75,0.73098
67,Ag,111,CH3CH2CH*,*,CH3CH2C*,H*,1.2,1.21149
68,Ag,111,CH3CH2CH*,*,CH3CH2CH*,H*,0.2,1.28125
69,Co,111,CH3CH2CH*,*,CH3CH2C*,H*,-0.73,0.61913
70,Co,111,CH3CH2CH*,*,CH3CH2CH*,H*,-0.19,1.27687
71,Au,111,CH3CHCH3*,*,CH3CCH3*,H*,0.57,1.22774
72,Au,111,CH3CHCH3*,*,CH3CHCH2*,H*,1.76,0.65696
73,Ag,111,CH3CHCH3*,*,CH3CCH3*,H*,0.14,1.16283
74,Ag,111,CH3CHCH3*,*,CH3CHCH2*,H*,1.85,1.18924
75,Co,111,CH3CHCH3*,*,CH3CCH3*,H*,-0.31,1.07053
76,Co,111,CH3CHCH3*,*,CH3CHCH2*,H*,0.16,0.90378
77,Au,111,CH3CH2CH2*,*,CH3CH2CH*,H*,1.6,1.22114
78,Au,111,CH3CH2CH2*,*,CH3CHCH2*,H*,0.54,1.00336
79,Ag,111,CH3CH2CH2*,*,CH3CH2CH*,H*,1.78,0.85268
80,Ag,111,CH3CH2CH2*,*,CH3CHCH2*,H*,0.17,1.23367
81,Co,111,CH3CH2CH2*,*,CH3CH2CH*,H*,0.13,1.19877
82,Co,111,CH3CH2CH2*,*,CH3CHCH2*,H*,-0.23,0.88251
